short_name,long_name
left_end,Standing Starts - the Left End
lh_arete,The Left Arete Sit-Start
15a,The 15A Sit-Start
2_16,The 2/16 Sit-Start
17,The No-Problem Area Standing Starts
2_17,The No-Problem Sit-Starts
46,The Mantelshelf Area Standing Starts
4_19,The 4/19 Sit-Starts
3_19,The 3/19 Sit-Start
20,The Hold 20 Sit-Starts
central,The Central Area Standing Starts
5_22,The 5/22 Sit-Start
6_23,The 6/23 Sit-Starts
25,The Hold 25 Sit-Starts
halloween_stand,The Halloween Area Standing Starts
halloween_sit,The Halloween Area Sit-Starts
29,The Hold 29 Sit-Starts
ali_g,The Ali G Area Standing Starts
9_10,The 9/10 & 32 Sit-Starts
31_32,The 31/32 Sit-Start
9_30,The 9/30 Sit-Start
35,The Hold 35 Sit-Start
10_33,The 10/33 Sit-Start
rh_end,The Right Hand End Standing Starts
11_37,The 11/37 Sit-Start
11_38,The 11/38 Sit-Start
rh_arete,The Right Hand Arete
